DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Multiomics,20,RF2_10,RF,0.7627118644067796,0.6428571428571429,0.7214285714285714,0.6976744186046511,0.8058163265306123
Multiomics,20,RF2_10,NB,0.6338028169014085,0.6428571428571429,0.6357142857142857,0.6382978723404257,0.6975510204081633
mRNA,10,RF2_10,LR,0.6410256410256411,0.7142857142857143,0.6571428571428571,0.6756756756756757,0.7073469387755101
mRNA,10,RF2_10,KNN,0.5915492957746479,0.6,0.5928571428571429,0.5957446808510638,0.6084693877551021
mRNA,10,RF2_10,RF,0.7,0.6,0.6714285714285714,0.6461538461538462,0.7235714285714285
mRNA,10,RF2_10,NB,0.6438356164383562,0.6714285714285714,0.65,0.6573426573426574,0.7251020408163266
Methylation,10,RF2_10,LR,0.6712328767123288,0.7,0.6785714285714286,0.6853146853146853,0.6391836734693879
Methylation,10,RF2_10,KNN,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.7645918367346939
Methylation,10,RF2_10,RF,0.7142857142857143,0.6428571428571429,0.6928571428571428,0.6766917293233083,0.7789795918367346
Methylation,10,RF2_10,NB,0.5465116279069767,0.6714285714285714,0.5571428571428572,0.6025641025641025,0.5873469387755101
Multiomics,10,RF2_5,LR,0.6582278481012658,0.7428571428571429,0.6785714285714286,0.697986577181208,0.6891836734693877
Multiomics,10,RF2_5,KNN,0.6125,0.7,0.6285714285714286,0.6533333333333333,0.6740816326530611
Multiomics,10,RF2_5,RF,0.7,0.6,0.6714285714285714,0.6461538461538462,0.763469387755102
Multiomics,10,RF2_5,NB,0.6447368421052632,0.7,0.6571428571428571,0.6712328767123288,0.6373469387755102
mRNA,5,RF2_5,LR,0.6296296296296297,0.7285714285714285,0.65,0.6754966887417219,0.6661224489795918
mRNA,5,RF2_5,KNN,0.527027027027027,0.5571428571428572,0.5285714285714286,0.5416666666666666,0.5321428571428571
mRNA,5,RF2_5,RF,0.609375,0.5571428571428572,0.6,0.582089552238806,0.6326530612244898
mRNA,5,RF2_5,NB,0.6309523809523809,0.7571428571428571,0.6571428571428571,0.6883116883116883,0.6842857142857143
Methylation,5,RF2_5,LR,0.6891891891891891,0.7285714285714285,0.7,0.7083333333333334,0.656326530612245
Methylation,5,RF2_5,KNN,0.6756756756756757,0.7142857142857143,0.6857142857142857,0.6944444444444444,0.7684693877551021
Methylation,5,RF2_5,RF,0.711864406779661,0.6,0.6785714285714286,0.6511627906976744,0.7807142857142857
Methylation,5,RF2_5,NB,0.5657894736842105,0.6142857142857143,0.5714285714285714,0.5890410958904109,0.5612244897959183
